time,value
0.0,0.5
4,1.0
8,1.45
12,1.9
16,2.34
20,2.79
24,3.24
3607.0,3.24
3608.4,3.11
3609.8,2.98
3611.2,2.85
3612.6,2.72
3614,2.59
7514.0,2.59
7515.4,2.44
7516.8,2.29
7518.2,2.13
7519.6,1.98
7521,1.83
11421.0,1.83
11422.4,1.7
11423.8,1.57
11425.2,1.44
11426.6,1.31
11428,1.18
15328.0,1.18
15329.4,1.06
15330.8,0.94
15332.2,0.83
15333.6,0.71
15335,0.59
19235,1
